age,monthly_salary,profession,education_level,location,home_status,family_wealth,marital_status,marriage_type,government_job,dowry_amount_lakhs
34,39087,Software Engineer,PhD,Tier-3,Rented,Upper-Middle,Married,Arranged,0,1.5
40,160056,Software Engineer,Diploma,Tier-1,Rented,Upper-Middle,Single,Arranged,0,17.0
27,113669,Government Officer,Masters,Tier-1,Rented,Upper,Divorced,Arranged,1,17.5
36,50545,CA,Bachelors,Rural,Rented,Lower,Married,Arranged,0,-0.5
32,130266,Business Owner,Bachelors,Rural,Rented,Lower,Divorced,Arranged,0,7.5
31,121773,Private Job,Masters,Tier-1,Rented,Lower,Single,Love,0,13.0
38,75711,Software Engineer,Diploma,Tier-2,Rented,Upper,Married,Arranged,0,1.5
40,42012,Business Owner,Bachelors,Tier-2,Rented,Upper-Middle,Married,Arranged,0,0.0
23,47287,Doctor,Bachelors,Rural,Own,Middle,Divorced,Arranged,0,7.5
37,117903,CA,Bachelors,Tier-3,Own,Upper,Divorced,Arranged,0,11.5
29,49411,Software Engineer,Masters,Tier-2,Own,Upper,Married,Arranged,0,5.0
37,26622,CA,Bachelors,Tier-1,Rented,Middle,Divorced,Arranged,0,6.0
38,153994,Government Officer,PhD,Rural,Rented,Upper,Single,Arranged,1,22.5
27,36775,Software Engineer,Masters,Rural,Own,Upper-Middle,Married,Love,0,0.5
34,116502,Government Officer,Diploma,Tier-3,Own,Upper-Middle,Single,Arranged,1,21.5
31,192534,Government Officer,Diploma,Rural,Own,Upper,Single,Arranged,1,24.5
33,188909,Software Engineer,Masters,Rural,Own,Lower,Single,Arranged,0,20.0
24,64013,Government Officer,PhD,Tier-3,Rented,Upper-Middle,Divorced,Arranged,1,14.0
28,76646,Business Owner,Bachelors,Tier-2,Rented,Upper,Divorced,Arranged,0,6.5
28,106914,CA,Diploma,Tier-2,Own,Upper-Middle,Divorced,Arranged,0,11.0
36,145430,Government Officer,Bachelors,Tier-1,Own,Upper,Single,Arranged,1,26.0
29,199225,Private Job,PhD,Tier-3,Rented,Upper-Middle,Married,Love,0,5.5
31,111334,Freelancer,PhD,Tier-3,Rented,Upper-Middle,Married,Arranged,0,2.5
22,35146,Government Officer,Masters,Rural,Own,Middle,Divorced,Arranged,1,13.5
30,122990,Software Engineer,Masters,Tier-2,Own,Upper-Middle,Divorced,Arranged,0,14.0
24,47531,Freelancer,Masters,Rural,Own,Middle,Divorced,Love,0,3.0
28,74052,Government Officer,Diploma,Tier-3,Own,Middle,Single,Arranged,1,19.5
33,26481,Private Job,Masters,Tier-1,Rented,Lower,Single,Love,0,8.0
37,55291,Doctor,Masters,Tier-3,Own,Lower,Married,Arranged,0,5.0
